
Rnk	Athlete	POS	RookieYr
813	Dusan Vlahovic	FW	2016
814	Joao Felix	FW	2016
815	Randal Kolo Muani	FW	2016
816	Dani Olmo	MF	2015
817	Frenkie de Jong	MF	2015
818	Georginio Wijnaldum	MF	2007
819	Mario Balotelli	FW	2006
820	Nani	FW	2005
821	Ricardo Quaresma	MF	2000
822	Javier Saviola	FW	1998
823	Emmanuel Olisadebe	FW	1995
824	Fabio Grosso	DF	1995
825	Jan Koller	FW	1994
826	Juan Carlos Valeron	MF	1994
827	Edmilson	MF	1993
828	Pierre van Hooijdonk	FW	1989
829	Pep Guardiola	MF	1988
830	Vitor Baia	GK	1988
831	Hakan Sukur	FW	1987
832	Sinisa Mihajlovic	DF	1986
833	Rai Souza	MF	1984
834	Txiki Begiristain	MF	1982
835	Lajos Detari	MF	1980
836	Carlos Manuel Correia	MF	1975
837	Ramaz Shengelia	FW	1973
838	Vladislav Bogicevic	MF	1968
839	Jurgen Sparwasser	MF	1966
840	Manuel Bento	GK	1966
841	Josip Katalinski	DF	1965
842	Peter Lorimer	MF	1962
843	Erno Solymosi	MF	1960
844	Colin McDonald	GK	1948
845	David Luiz	DF	2006
846	Josimar Higino	DF	1982
847	Zizinho	FW	1939
848	Jair Rosa Pinto	FW	1938
849	Enrique Ballestero	GK	1924
850	Hector Castro	FW	1923
851	Santillana	FW	1970
852	Joshua Kimmich	MF	2013
853	Marquinhos	DF	2011
854	Dani Carvajal	DF	2010
855	Marc-Andre ter Stegen	GK	2009
856	Yuri Zhirkov	DF	2001
857	Giorgio Chiellini	DF	2000
858	Rafael van der Vaart	MF	2000
859	Jamie Carragher	DF	1996
860	Mauro Camoranesi	MF	1995
861	William Gallas	DF	1995
862	Willy Sagnol	DF	1995
863	Mark van Bommel	MF	1992
864	Vincent Candela	DF	1991
865	Christian Ziege	DF	1990
866	Sergi Barjuan	DF	1990
867	Trifon Ivanov	DF	1983
868	Paul McStay	MF	1981
869	Karl-Heinz Forster	DF	1977
870	Zlatko Vujovic	FW	1976
871	Antonio Maceda	DF	1974
872	Viv Anderson	DF	1974
873	Felix Magath	MF	1972
874	Petar Zhekov	FW	1962
875	Ezio Pascutti	FW	1955
876	Jozef Adamec	FW	1954
877	Titus Bubernik	MF	1953
878	Norbert Eschmann	MF	1951
879	Igor Netto	MF	1949
880	Karl Stotz	DF	1948
881	Vujadin Boskov	MF	1946
882	Robert Jonquet	DF	1945
883	Roger Marche	DF	1944
884	Theo Hernandez	DF	2015
885	Marcio Santos	DF	1987
886	Gabelo Conejo	GK	1980
887	Carlos Alberto Torres	DF	1963
888	Enrique Guaita	FW	1931
889	Matthias Sindelar	FW	1921
890	Hector Scarone	FW	1917
891	Achraf Hakimi	DF	2016
892	Sofyan Amrabat	MF	2014
893	Jorginho Amorim	DF	1982
894	Fulvio Collovati	DF	1976
895	Claudio Gentile	DF	1971
896	Silvio Marzolini	DF	1959
897	Bauer	MF	1945
898	Victor Rodriguez Andrade	DF	1945
899	Erik Nilsson	DF	1934
900	Domingos da Guia	DF	1929
901	Eraldo Monzeglio	DF	1923
902	Luis Hernandez	FW	1990
903	Florin Raducioiu	FW	1986
904	Jorge Valdano	FW	1973
905	Valeriy Porkujan	FW	1962
906	Drazan Jerkovic	FW	1954
907	Marcus Rashford	FW	2015
908	Nico Claesen	FW	1977
909	Roberto Dinamite	FW	1971
910	Gerry Armstrong	FW	1970
911	Ignacio Calderon	GK	1962
912	Adolf Scherer	MF	1957
913	Roger Hunt	FW	1957
914	Hans Tilkowski	GK	1955
915	Todor Veselinovic	FW	1948
916	Kalle Svensson	GK	1943
917	Leopold Kielholz	FW	1927
918	Breel Embolo	FW	2014
919	Giorgian De Arrascaeta	MF	2012
920	John Stones	DF	2011
921	Mehdi Taremi	FW	2010
922	Wojciech Szczesny	GK	2009
923	Gervinho Kouassi	MF	2005
924	Chung-Yong Lee	MF	2004
925	Danijel Subasic	GK	2003
926	Maarten Stekelenburg	GK	2002
927	Carlos Tenorio	FW	2001
928	Aruna Dindane	FW	1998
929	Alexander Frei	FW	1997
930	Jared Borgetti	FW	1993
931	Fuad Anwar	MF	1990
932	Marco Materazzi	DF	1990
933	Daniel Amokachi	FW	1989
934	Viorel Moldovan	FW	1989
935	Adolfo Valencia	FW	1988
936	Phillip Cocu	MF	1988
937	Wim Jonk	MF	1986
938	Luis Garcia Postigo	FW	1985
939	Marius Lacatus	FW	1980
940	Billy Hamilton	FW	1975
941	Salah Assad	FW	1975
942	Ivica Surjak	MF	1971
943	Nelinho	DF	1970
944	Miguel Angel Gonzalez	GK	1966
945	Laszlo Fazekas	FW	1965
946	Roberto Boninsegna	FW	1963
947	Giacomo Bulgarelli	MF	1959
948	Kalman Meszoly	DF	1959
949	Derek Kevan	FW	1952
950	Jose Sasia	FW	1952
951	Ron Flowers	MF	1952
952	Aleksandar Petakovic	FW	1950
953	Jaime Ramirez (1931)	FW	1950
954	Ernst Lehner	FW	1929
955	Antonin Puc	FW	1925
956	Giovanni Ferrari	FW	1923
957	Ismaila Sarr	MF	2016
958	Hee-Chan Hwang	FW	2015
959	Andreas Christensen	DF	2014
960	Benjamin Pavard	DF	2014
961	Hirving Lozano	MF	2014
962	Adnan Januzaj	MF	2013
963	Dylan Bronn	DF	2013
964	Hyeon-Woo Jo	GK	2013
965	Jan Bednarek	DF	2013
966	Manuel Akanji	DF	2013
967	Marco Asensio	MF	2013
968	Rouzbeh Cheshmi	MF	2013
969	Sergej Milinkovic-Savic	MF	2013
970	Hakim Ziyech	MF	2012
971	Piotr Zielinski	MF	2012
972	Ante Rebic	MF	2011
973	Ferjani Sassi	MF	2011
974	Harry Maguire	DF	2011
975	Yussuf Poulsen	FW	2011
976	Alireza Beiranvand	GK	2010
977	Raphael Guerreiro	DF	2010
978	Romain Saiss	DF	2010
979	Joel Matip	DF	2009
980	Josip Drmic	FW	2009
981	Kieran Trippier	DF	2009
982	Ramin Rezaeian	DF	2009
983	Remo Freuler	MF	2009
984	Stefan de Vrij	DF	2009
985	Thomas Meunier	DF	2009
986	Yuya Osako	FW	2009
987	Grzegorz Krychowiak	MF	2008
988	Marco Urena	FW	2008
989	Munir Mohamedi	GK	2008
990	Salman Al-Faraj	MF	2008
991	Ja-Cheol Koo	MF	2007
992	Milan Badelj	MF	2007
993	Nacer Chadli	MF	2007
994	Shinji Kagawa	MF	2007
995	Victor Moses	MF	2007
996	Alexander Dominguez	GK	2006
997	Juan Mata	MF	2006
998	Kendall Waston	DF	2006
999	Paulinho Bezerra	MF	2006
1000	Sung-Ryong Jung	GK	2006
